MovieName,MovieYear,Top Four Movies
56. Django Unchained,Quentin Tarantino,"Reservoir Dogs,Pulp Fiction,Once Upon a Time... In Hollywood,From Dusk Till Dawn"
57. Memento,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
55. Apocalypse Now,Francis Ford Coppola,"Apocalypse Now,The Conversation,The Godfather,The Godfather: Part II"
58. 12th Fail,Vidhu Vinod Chopra,"12th Fail,3 Idiots,Munna Bhai M.B.B.S.,Lage Raho Munna Bhai"
54. City Lights,Charles Chaplin,"The Great Dictator,Modern Times,Limelight,City Lights"
53. Alien,Ridley Scott,"The Martian,Blade Runner,Thelma & Louise,Gladiator"
51. Rear Window,Alfred Hitchcock,"Psycho,North by Northwest,Vertigo,The Birds"
52. C'era Una Volta Il West,Sergio Leone,"Once Upon a Time in America,Fistful of Dynamite,A Fistful of Dollars,C'era Una Volta Il West"
49. Cinema Paradiso,Giuseppe Tornatore,"La Migliore Offerta,Cinema Paradiso,La Leggenda Del Pianista Sull'oceano,Malèna"
48. Intouchables,Olivier Nakache,"Intouchables,Hors normes,Le sens de la fête,Tellement proches"
47. Casablanca,Michael Curtiz,"Casablanca,The Adventures of Robin Hood,Captain Blood,Mildred Pierce"
50. Modern Times,Charles Chaplin,"The Great Dictator,Modern Times,Limelight,City Lights"
45. Seppuku,Masaki Kobayashi,"Seppuku,Jôi-uchi: Hairyô tsuma shimatsu,The Human Condition III: A Soldier's Prayer,Ningen no jôken"
44. Grave of the Fireflies,Isao Takahata,"Pom Poko,Grave of the Fireflies,Kaguya-hime No Monogatari,Omohide Poro Poro"
41. American History X,Tony Kaye,"Detachment,Lake of Fire,American History X,Johnny Cash: God's Gonna Cut You Down"
40. The Departed,Martin Scorsese,"Killers of the Flower Moon,Taxi Driver,Mean Streets,GoodFellas"
43. The Prestige,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
42. Whiplash,Damien Chazelle,"La La Land,Whiplash,First Man,10 Cloverfield Lane"
46. The Usual Suspects,Bryan Singer,"X-Men,The Usual Suspects,X-Men: Days of Future Past,Superman Returns"
39. Léon,Luc Besson,"The Fifth Element,Léon,Lucy,La Femme Nikita"
36. Spider-man: Across the Spider-verse,Joaquim Dos Santos,"Spider-man: Across the Spider-verse,The Legend of Korra,Avatar: The Last Airbender,Voltron: Legendary Defender"
37. Gladiator,Ridley Scott,"The Martian,Blade Runner,Thelma & Louise,Gladiator"
38. The Lion King,Roger Allers,"The Lion King,Beauty and the Beast,The Little Mermaid,Aladdin"
35. Psycho,Alfred Hitchcock,"Psycho,North by Northwest,Vertigo,The Birds"
33. The Pianist,Roman Polanski,"Chinatown,Le locataire,The Ghost Writer,Rosemary's Baby"
34. Parasite,Bong Joon Ho,"Snowpiercer,Okja,Parasite,Madeo"
32. Spirited Away,Hayao Miyazaki,"Spirited Away,My Neighbour Totoro,Hauru No Ugoku Shiro,Mononoke-hime"
31. Back to the Future,Robert Zemeckis,"Back to the Future,Forrest Gump,Contact,Flight"
30. Star Wars: Episode IV - A New Hope,George Lucas,"Star Wars: Episode IV - A New Hope,THX 1138,American Graffiti,Raiders of the Lost Ark"
27. Life Is Beautiful,Roberto Benigni,"Life Is Beautiful,La tigre e la neve,Down by Law,Johnny Stecchino"
26. City of God,Fernando Meirelles,"The Constant Gardener,Blindness,The Two Popes,City of God"
24. The Silence of the Lambs,Jonathan Demme,"The Silence of the Lambs,Rachel Getting Married,Philadelphia,Adaptation."
23. Shichinin No Samurai,Akira Kurosawa,"The Hidden Fortress,Kagemusha,Ran,Shichinin No Samurai"
25. Saving Private Ryan,Steven Spielberg,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
22. It's a Wonderful Life,Frank Capra,"It's a Wonderful Life,It Happened One Night,You Can't Take It with You,Mr. Smith Goes to Washington"
21. Interstellar,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
19. One Flew Over the Cuckoo's Nest,Milos Forman,"One Flew Over the Cuckoo's Nest,Amadeus,The People vs. Larry Flynt,Hair"
20. Se7en,David Fincher,"Se7en,Zodiac,Gone Girl,The Social Network"
18. GoodFellas,Martin Scorsese,"Killers of the Flower Moon,Taxi Driver,Mean Streets,GoodFellas"
15. Dune: Part Two,Denis Villeneuve,"Dune,Blade Runner 2049,Arrival,Incendies"
138. The Truman Show,Peter Weir,"Master and Commander: The Far Side of the World,The Way Back,Witness,Dead Poets Society"
